arm,anchor_lambda_px_per_mm,correction,dof,n_folds,rmse_mm,mean_mm,std_mm,median_mm,max_mm
A3,,none,0,13,4.3446190825463065,4.036618748228824,1.606681067876598,3.754434186644982,7.386463288586451
A3,,offset,3,13,3.533735157314566,3.2871213203820906,1.2969647594019287,3.3830835748000303,5.1034425804241765
A3,,se3,6,13,3.6018393493495418,3.332572852681111,1.3664570538789769,3.3436132423803486,5.176347529037088
A3,,ridge,9,13,2.0336403942334726,1.809727558502419,0.9276741976873923,1.8876878802376025,3.5623298730149666
A2,0.0,none,0,13,4.80555081316426,4.2932237899868175,2.159061858075147,4.251051192429841,8.554583804193772
A2,0.0,offset,3,13,3.808871950358155,3.596541306736703,1.253952217256217,3.568989031379277,5.807200914364267
A2,0.0,se3,6,13,3.6952561999544282,3.3957854945843313,1.457243719517188,3.200616435507888,5.429754891172747
A2,0.0,ridge,9,13,2.215277315120162,1.9323611063055812,1.0832516502288212,1.8871951563041678,4.159819004909098
A2@lam0.1,0.1,none,0,13,4.805319828752208,4.293452302070429,2.1580931366475555,4.249350471295217,8.553554949184813
A2@lam0.1,0.1,offset,3,13,3.8079179379009718,3.5953959756943132,1.2543391884769968,3.5676384428186236,5.805845859124929
A2@lam0.1,0.1,se3,6,13,3.6951585461082788,3.3956654736229175,1.457275770786812,3.2006358215212884,5.429686742600172
A2@lam0.1,0.1,ridge,9,13,2.2150058271286963,1.9322166507522787,1.0829541212672522,1.8869225598630748,4.158987747394921
A2@lam0.3,0.3,none,0,13,4.803664672963901,4.295693053805637,2.1499338310207095,4.238760024333025,8.544674301239352
A2@lam0.3,0.3,offset,3,13,3.8008778165489208,3.586805851971085,1.2575754277973457,3.558718308578658,5.793076486929864
A2@lam0.3,0.3,se3,6,13,3.6941114978071585,3.3946063877935817,1.4570886143890014,3.2013583139329564,5.427498639195541
A2@lam0.3,0.3,ridge,9,13,2.213219622431637,1.9313566501190351,1.0808342089133824,1.8883272043463704,4.152180632431458
A2@lam1,1.0,none,0,13,4.786692509879522,4.310876326002937,2.0805697503434315,4.151511189672025,8.463970363685698
A2@lam1,1.0,offset,3,13,3.7449422015804807,3.5182372817790597,1.2831985513856965,3.4956528782562404,5.689777270496883
A2@lam1,1.0,se3,6,13,3.6843221664912935,3.3848155619289932,1.4550784989898007,3.2167100755762683,5.398459668256502
A2@lam1,1.0,ridge,9,13,2.1970175252526527,1.9235608161454967,1.0615082632071033,1.8950843384900447,4.08647289714052
A2@lam3,3.0,none,0,13,4.700355296804085,4.318542311938028,1.8556756764572766,3.9555878691406856,8.06791722070364
A2@lam3,3.0,offset,3,13,3.611084390959013,3.355061715733249,1.3354742087546645,3.4058218031762917,5.338256330790542
A2@lam3,3.0,se3,6,13,3.6419153196933483,3.344796966962394,1.4407916038123874,3.298737952478211,5.255150494168076
A2@lam3,3.0,ridge,9,13,2.143443909778657,1.902863665577031,0.9866416089918169,1.9035434196842869,3.8594817491840323
A2@lam10,10.0,none,0,13,4.4765873673012,4.170832005136921,1.626036543871699,3.841987964988082,7.488349818243118
A2@lam10,10.0,offset,3,13,3.5272808815182257,3.268103992437383,1.3271046348117503,3.4086316419866187,5.072762418969185
A2@lam10,10.0,se3,6,13,3.595106825914738,3.3126122053397498,1.3969228564143608,3.378324619239019,5.14829265620829
A2@lam10,10.0,ridge,9,13,2.059627961139563,1.8452699000453623,0.914902363257682,1.9022900925790955,3.5756165303805236
