event_id,set_index,raw_set_cube_center_6dof,prior_translation_m,prior_rotation_rotvec,estimated_cube_translation_m,estimated_cube_rotation_rotvec,delta_trans_mm,delta_rot_deg,possible_unit_warning,possible_rotation_warning,set_used_for_anchor
24,1,"[-98.641, 418.465, 43.617999999999995, -74.32918450874705, 0.20173843966556285, 179.32444531160408]","[-0.098641, 0.418465, 0.043618]","[2.4977420906776544, -1.893416884829724, -0.015559838337604265]","[-0.09083830992456066, 0.4207933753731409, 0.043531872155666965]","[-0.007019236307203162, 0.0003831045902856334, 1.8623833387319422]",8.143139584777982,179.50460020332238,,rotation prior off by 180deg (>45),True
25,1,"[-98.641, 418.465, 43.617999999999995, -74.32918450874705, 0.20173843966556285, 179.32444531160408]","[-0.098641, 0.418465, 0.043618]","[2.4977420906776544, -1.893416884829724, -0.015559838337604265]","[-0.09124074442674929, 0.42071791164895167, 0.043556221082210925]","[-0.0019092473262296036, -0.005470779253855295, 1.8612910313597208]",7.735839326284744,179.88058869119524,,rotation prior off by 180deg (>45),True
26,1,"[-98.641, 418.465, 43.617999999999995, -74.32918450874705, 0.20173843966556285, 179.32444531160408]","[-0.098641, 0.418465, 0.043618]","[2.4977420906776544, -1.893416884829724, -0.015559838337604265]","[-0.09145763224598646, 0.4215102525846272, 0.04360366262506704]","[-0.004530475904854451, -0.003933735080788366, 1.8588356374789414]",7.802213862353436,179.73240667612498,,rotation prior off by 180deg (>45),True
27,1,"[-98.641, 418.465, 43.617999999999995, -74.32918450874705, 0.20173843966556285, 179.32444531160408]","[-0.098641, 0.418465, 0.043618]","[2.4977420906776544, -1.893416884829724, -0.015559838337604265]","[-0.09145763224598646, 0.4215102525846272, 0.04360366262506704]","[-0.004530475904854451, -0.003933735080788366, 1.8588356374789414]",7.802213862353436,179.73240667612498,,rotation prior off by 180deg (>45),True
28,1,"[-98.641, 418.465, 43.617999999999995, -74.32918450874705, 0.20173843966556285, 179.32444531160408]","[-0.098641, 0.418465, 0.043618]","[2.4977420906776544, -1.893416884829724, -0.015559838337604265]","[-0.0918377545960718, 0.42167593771110723, 0.043927878128999995]","[-0.005444436228680116, -0.00839308137292716, 1.8574642100138106]",7.52929568190236,179.82996336861981,,rotation prior off by 180deg (>45),True
29,1,"[-98.641, 418.465, 43.617999999999995, -74.32918450874705, 0.20173843966556285, 179.32444531160408]","[-0.098641, 0.418465, 0.043618]","[2.4977420906776544, -1.893416884829724, -0.015559838337604265]","[-0.09099248931507503, 0.42077735873779204, 0.04367078889600741]","[-0.0029624560103558226, -0.00752845569752763, 1.860811920515666]",7.99058854510709,179.90069172638837,,rotation prior off by 180deg (>45),True
30,1,"[-98.641, 418.465, 43.617999999999995, -74.32918450874705, 0.20173843966556285, 179.32444531160408]","[-0.098641, 0.418465, 0.043618]","[2.4977420906776544, -1.893416884829724, -0.015559838337604265]","[-0.09111929523934503, 0.4202234170507986, 0.04364108574638956]","[-0.007448257672132968, 0.0015233588224603197, 1.858981911700899]",7.724545681312605,179.454673454299,,rotation prior off by 179deg (>45),True
31,1,"[-98.641, 418.465, 43.617999999999995, -74.32918450874705, 0.20173843966556285, 179.32444531160408]","[-0.098641, 0.418465, 0.043618]","[2.4977420906776544, -1.893416884829724, -0.015559838337604265]","[-0.09118513072985607, 0.42029028002096347, 0.043665356294894125]","[-0.0021869271731144993, -0.002296957147519575, 1.8633085556769733]",7.676188920751713,179.77432267197742,,rotation prior off by 180deg (>45),True
32,1,"[-98.641, 418.465, 43.617999999999995, -74.32918450874705, 0.20173843966556285, 179.32444531160408]","[-0.098641, 0.418465, 0.043618]","[2.4977420906776544, -1.893416884829724, -0.015559838337604265]","[-0.0918740805896921, 0.42099808328280774, 0.04371388072306916]","[-0.003943057018805803, -0.0055047796052896504, 1.8567919822489756]",7.226126371459211,179.80310030760188,,rotation prior off by 180deg (>45),True
33,1,"[-98.641, 418.465, 43.617999999999995, -74.32918450874705, 0.20173843966556285, 179.32444531160408]","[-0.098641, 0.418465, 0.043618]","[2.4977420906776544, -1.893416884829724, -0.015559838337604265]","[-0.0913248475625808, 0.4204770901949767, 0.04362584312230641]","[-0.0020778534487946518, -0.002976599254356704, 1.8599234205573225]",7.587796449223179,179.80002251625962,,rotation prior off by 180deg (>45),True
34,1,"[-98.641, 418.465, 43.617999999999995, -74.32918450874705, 0.20173843966556285, 179.32444531160408]","[-0.098641, 0.418465, 0.043618]","[2.4977420906776544, -1.893416884829724, -0.015559838337604265]","[-0.09179788711265502, 0.42105172415380004, 0.04375224025210542]","[-0.0038612361523431634, -0.0053522418631918355, 1.8560354812416202]",7.316922596425701,179.80202503976275,,rotation prior off by 180deg (>45),True
40,2,"[-78.86999999999999, 518.295, 43.615, 164.6703048559996, 0.20208221434264137, 179.3250182693992]","[-0.07887, 0.518295, 0.043615]","[0.4183052261082713, 3.108457335672677, 0.01757227672589145]","[-0.07225369617114136, 0.5201016238782488, 0.043228688455444586]","[0.00784109147455548, -0.0034330948191267116, -0.26189654186568134]",6.86939610174612,179.93065445072543,,rotation prior off by 180deg (>45),True
41,2,"[-78.86999999999999, 518.295, 43.615, 164.6703048559996, 0.20208221434264137, 179.3250182693992]","[-0.07887, 0.518295, 0.043615]","[0.4183052261082713, 3.108457335672677, 0.01757227672589145]","[-0.07181107439964785, 0.5208026798123975, 0.043014247563196245]","[0.003920935939630608, -0.0012131842902574346, -0.2578942672750614]",7.515170800663059,179.8334836512599,,rotation prior off by 180deg (>45),True
42,2,"[-78.86999999999999, 518.295, 43.615, 164.6703048559996, 0.20208221434264137, 179.3250182693992]","[-0.07887, 0.518295, 0.043615]","[0.4183052261082713, 3.108457335672677, 0.01757227672589145]","[-0.07138653856271604, 0.5214115346754586, 0.0429043116757898]","[0.005750262046541143, -0.001719768427480012, -0.2561614280143686]",8.13757097424169,179.84764832187008,,rotation prior off by 180deg (>45),True
43,2,"[-78.86999999999999, 518.295, 43.615, 164.6703048559996, 0.20208221434264137, 179.3250182693992]","[-0.07887, 0.518295, 0.043615]","[0.4183052261082713, 3.108457335672677, 0.01757227672589145]","[-0.0705679504606403, 0.5205698680105563, 0.04252522201553299]","[0.008304128076826782, -0.003190727253684894, -0.2560788281114142]",8.676788984115264,179.9114574394399,,rotation prior off by 180deg (>45),True
44,2,"[-78.86999999999999, 518.295, 43.615, 164.6703048559996, 0.20208221434264137, 179.3250182693992]","[-0.07887, 0.518295, 0.043615]","[0.4183052261082713, 3.108457335672677, 0.01757227672589145]","[-0.0710912155422459, 0.5191175612774002, 0.04287212288286732]","[0.009490897504064595, -0.0067626774676307596, -0.2571002060129221]",7.857350768957286,179.8949765696006,,rotation prior off by 180deg (>45),True
45,2,"[-78.86999999999999, 518.295, 43.615, 164.6703048559996, 0.20208221434264137, 179.3250182693992]","[-0.07887, 0.518295, 0.043615]","[0.4183052261082713, 3.108457335672677, 0.01757227672589145]","[-0.07138653856271604, 0.5214115346754586, 0.0429043116757898]","[0.005750262046541143, -0.001719768427480012, -0.2561614280143686]",8.13757097424169,179.84764832187008,,rotation prior off by 180deg (>45),True
46,2,"[-78.86999999999999, 518.295, 43.615, 164.6703048559996, 0.20208221434264137, 179.3250182693992]","[-0.07887, 0.518295, 0.043615]","[0.4183052261082713, 3.108457335672677, 0.01757227672589145]","[-0.07088023629792728, 0.5219488503339915, 0.04291924300133555]","[0.007616334047318315, -0.001538648780878078, -0.2608668834495201]",8.813116592860865,179.8247554140531,,rotation prior off by 180deg (>45),True
47,2,"[-78.86999999999999, 518.295, 43.615, 164.6703048559996, 0.20208221434264137, 179.3250182693992]","[-0.07887, 0.518295, 0.043615]","[0.4183052261082713, 3.108457335672677, 0.01757227672589145]","[-0.07120709477457532, 0.5211341258702497, 0.042846288225087376]","[0.0024811386335694867, -0.004741770958422865, -0.2562517114291394]",8.208024731557002,179.95628097476475,,rotation prior off by 180deg (>45),True
48,2,"[-78.86999999999999, 518.295, 43.615, 164.6703048559996, 0.20208221434264137, 179.3250182693992]","[-0.07887, 0.518295, 0.043615]","[0.4183052261082713, 3.108457335672677, 0.01757227672589145]","[-0.07143336904743353, 0.5204731029176657, 0.04314100593245314]","[0.0014030776254330124, -0.005001591144501899, -0.25889144767207806]",7.763522565220215,179.93247871885663,,rotation prior off by 180deg (>45),True
49,2,"[-78.86999999999999, 518.295, 43.615, 164.6703048559996, 0.20208221434264137, 179.3250182693992]","[-0.07887, 0.518295, 0.043615]","[0.4183052261082713, 3.108457335672677, 0.01757227672589145]","[-0.07179161522785327, 0.5208422294206594, 0.04306498720916213]","[0.0038914150082353673, -0.0025562169413783148, -0.2583362800682765]",7.542839171964163,179.90990667465312,,rotation prior off by 180deg (>45),True
