method,label,family,fit,status,n_runs,train_board_reprojection_rmse_px,heldout_board_reprojection_rmse_px,fixed_to_fixed_board_pixel_rmse_px,fixed_to_fixed_board_translation_rmse_mm,fixed_to_fixed_board_rotation_rmse_deg,fixed_to_fixed_cube_pixel_rmse_px,fixed_to_fixed_cube_translation_rmse_mm,fixed_to_fixed_cube_rotation_rmse_deg,gripper_to_fixed_board_pixel_rmse_px,gripper_to_fixed_board_translation_rmse_mm,gripper_to_fixed_board_rotation_rmse_deg,gripper_to_fixed_cube_pixel_rmse_px,gripper_to_fixed_cube_translation_rmse_mm,gripper_to_fixed_cube_rotation_rmse_deg
A0,A0 current board-only,current calibration pipeline,Board; sequential nonlinear reprojection,complete,3,3.820219516271066,4.052992397089369,1.185092045098955,1.7186536511705075,0.19258310968561068,12.653150475472271,16.997460312323074,1.7552776794323164,4.544448628937089,5.481039864896844,0.7965984387443191,10.245591324628174,11.208577682892725,1.5668684794119756
A2,A2 current Board+Cube,current calibration pipeline,Board+Cube; unified nonlinear reprojection,complete,3,3.818858299690445,4.041495726761742,3.545926627839157,4.9728313675213665,0.5133670640963144,9.546280721241246,12.607308045936259,1.7252239567068008,5.441118569006935,7.211755103066921,1.0295072605035474,8.988333904130139,9.818758457895095,1.6354291703133221
A3,A3 current full,current calibration pipeline,Board+Cube; unified reprojection; FK-fixed Cube poses,complete,3,3.924235271746404,3.9644258307635805,5.469811875136763,7.967547778550203,0.422851483296706,7.513144884245608,9.752649376884293,1.789274086759814,6.0437233222628395,7.303935258542098,0.7527732687767914,7.934545487423819,8.698292026488863,1.4927532226197833
opencv_tsai_lenz,Tsai–Lenz,OpenCV calibrateHandEye,Board-only closed-form + robust fixed-camera registration,complete,1,5.114765485565149,5.4147517929474835,1.408352673960512,1.9479589567730726,0.17552911782706063,12.697810813237142,17.05019555863298,1.7661877413465479,6.143932659400534,6.591369144974564,1.1555828134238968,10.2508912243254,11.160429465694802,1.7186584940568168
opencv_park_martin,Park–Martin,OpenCV calibrateHandEye,Board-only closed-form + robust fixed-camera registration,complete,1,3.887594716603956,4.42501999346948,1.4083526739600967,1.9479589567724065,0.17552911782705938,12.697810813237211,17.05019555863298,1.7661877413465406,4.9822283287066735,5.149351846909946,0.5679170698889168,9.597938909322725,10.780250145986356,1.4693977580856727
opencv_horaud,Horaud,OpenCV calibrateHandEye,Board-only closed-form + robust fixed-camera registration,complete,1,3.8774288748827734,4.319494253584619,1.4083526739601617,1.9479589567724045,0.17552911782705538,12.697810813237009,17.050195558632712,1.7661877413465423,4.844460631125364,4.994247099358665,0.5521783612661698,9.565292837109384,10.765073397561872,1.4611091574978599
opencv_andreff,Andreff,OpenCV calibrateHandEye,Board-only closed-form + robust fixed-camera registration,complete,1,3.819616529414751,4.163010463086039,1.4083526739601753,1.947958956772522,0.17552911782705807,12.697810813237263,17.05019555863298,1.7661877413465439,4.67957201898632,4.835465333519434,0.5556478775515041,9.659671160943427,10.847967781006892,1.4639162995226973
opencv_daniilidis,Daniilidis,OpenCV calibrateHandEye,Board-only closed-form + robust fixed-camera registration,complete,1,3.8794196351612262,4.338504605221984,1.4083526739603276,1.9479589567727007,0.17552911782706404,12.697810813237238,17.050195558632986,1.7661877413465417,4.838262755388001,4.976262534780291,0.566596278594086,9.561886115894094,10.761701137225703,1.4707028536414462
opencv_robot_world_shah,Shah robot-world/hand-eye,OpenCV calibrateRobotWorldHandEye,Board-only closed-form + robust fixed-camera registration,complete,1,4.012518103427979,3.891780344088227,1.4083526739600605,1.9479589567722675,0.17552911782705719,12.6978108132369,17.050195558632435,1.7661877413465428,4.2784164581539805,4.288126757158762,0.5521788352103705,9.512951048137662,10.780447546817014,1.4611095170709785
opencv_robot_world_li,Li robot-world/hand-eye,OpenCV calibrateRobotWorldHandEye,Board-only closed-form + robust fixed-camera registration,complete,1,8.355757215595109,7.51202421427273,1.4083526739605885,1.947958956772857,0.17552911782705255,12.69781081323687,17.050195558632375,1.7661877413465428,9.000159796347162,10.2457515168713,0.550449637589241,10.861267149195985,12.95951316080046,1.4612809360398833
