point_id,axis,cube_max_pnp_rmse_px,cube_min_inlier_fraction,board_min_charuco_corners,method,split_frozen,heldout_population_frozen,manifest_train_observations,manifest_train_corners,n_runs,converged_runs,heldout_overall_reprojection_rmse_px,train_overall_reprojection_rmse_px,heldout_board_reprojection_rmse_px,train_board_reprojection_rmse_px,heldout_cube_reprojection_rmse_px,train_cube_reprojection_rmse_px,n_heldout_observations,n_heldout_corners,n_train_observations,n_train_corners,heldout_path_mask_sha256,cross_view_pixel_transfer_rmse_px,e_cross_translation_rmse_mm,e_e2e_translation_rmse_mm
P0,baseline,3.0,0.0,4,A0,True,True,119,3683,3,3,4.074073116074142,3.8180330764372066,4.074073116074142,3.8180330764372066,,,17,703,60,2959,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,,,
P0,baseline,3.0,0.0,4,A2,True,True,119,3683,3,3,3.900843510952599,3.7404287829694063,3.996734638667189,3.8298393586066393,3.6000974574269224,3.350292693989072,35,939,119,3683,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,4.009346880560356,5.978520518170993,6.4455823075252985
P0,baseline,3.0,0.0,4,A3,True,True,119,3683,3,3,4.791613814363685,5.157634595894678,4.114588920021596,4.045080634538837,6.396950637723928,8.273220924516108,35,939,119,3683,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,5.862028429811652,9.027925517898614,6.094652936038063
R1,cube_pnp_rmse_px,1.5,0.0,4,A0,True,True,116,3635,3,3,4.074073136438391,3.818033076116111,4.074073136438391,3.818033076116111,,,17,703,60,2959,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,,,
R1,cube_pnp_rmse_px,1.5,0.0,4,A2,True,True,116,3635,3,3,3.925465390950657,3.741096467341345,3.974904610363305,3.823105315221651,3.7743594538736516,3.35864200338403,35,939,116,3635,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,3.8306154646132575,5.6859621897534005,6.382436169929712
R1,cube_pnp_rmse_px,1.5,0.0,4,A3,True,True,116,3635,3,3,4.790129016712906,5.082507297870864,4.112636409025796,4.046539316108305,6.39626625791703,8.19932867723729,35,939,116,3635,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,5.884137259760524,9.060011192354535,6.135272325929403
R2,cube_pnp_rmse_px,1.0,0.0,4,A0,True,True,115,3623,3,3,4.074073133340936,3.8180330763257637,4.074073133340936,3.8180330763257637,,,17,703,60,2959,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,,,
R2,cube_pnp_rmse_px,1.0,0.0,4,A2,True,True,115,3623,3,3,3.9248891653598434,3.742007661833521,3.9765716659757615,3.819053629428898,3.7667366563693414,3.3773646873109975,35,939,115,3623,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,3.841538474864057,5.644379107793493,6.430461661596074
R2,cube_pnp_rmse_px,1.0,0.0,4,A3,True,True,115,3623,3,3,4.796427431904751,5.081353551418331,4.127878202332359,4.041367761377898,6.385790756879973,8.252244699091873,35,939,115,3623,fc083444756ddaa09f9330a7bc08d3ee804336f1bd089799ae8600e1a0d0892d,5.9113368600882765,9.107065090170705,6.072534116960829
R3,cube_pnp_rmse_px,0.7,0.0,4,A0,False,True,110,3571,3,3,4.4811172923106355,3.8378849324001165,4.4811172923106355,3.8378849324001165,,,16,698,52,2562,a3678adc0944efce5b482451c4338a1ee45ff2228a2a6e7897b4c32ceb629604,,,
