method,event_id,set_idx,target,camera_id,raw_samples,accepted_samples,accepted_ratio,signed_median_mm,abs_median_mm,signed_rmse_mm,abs_p95_mm,centroid_base_m
A0,24,4,board,0,546,546,1.0,6.718345881894056,6.718345881894056,7.030097155811402,10.3937314899618,"[-0.27549857773114805, 0.48469301417606925, -0.022898569510410503]"
A0,24,4,board,1,451,451,1.0,7.160071031449937,7.160071031449937,7.164774168445373,8.405822496330916,"[-0.28529835654108293, 0.40890405124000906, -0.023106175863955237]"
A0,24,4,board,2,1196,1196,1.0,-2.9817236836007455,3.0043684680986456,5.868187646712761,11.571510010969732,"[-0.26778652441955625, 0.44819101910257014, -0.012304676552538708]"
A0,24,4,board,3,568,568,1.0,9.804152911464872,9.804152911464872,9.865381190801363,11.166778492922592,"[-0.28602688936555526, 0.4903105727272687, -0.02599509469940912]"
A0,54,9,board,0,754,754,1.0,6.676982396097102,6.676982396097102,7.048106958547531,10.342496338983402,"[-0.28683512709733855, 0.4642977201153098, -0.022811980290565217]"
A0,54,9,board,1,467,467,1.0,7.211747958101536,7.211747958101536,7.253982740275844,8.34522632163407,"[-0.2836903797761964, 0.41591013764039714, -0.023230152524493466]"
A0,54,9,board,2,1193,1193,1.0,10.015964745122103,10.015964745122103,11.780925300725384,18.82505473574466,"[-0.27390215460619965, 0.45296904913513497, -0.005257979421686629]"
A0,54,9,board,3,606,606,1.0,-9.652796446918376,9.652796446918376,9.644530810801559,11.081963540976961,"[-0.28179464629695555, 0.4943154681115493, -0.025801351028706558]"
A0,72,12,board,0,678,678,1.0,7.112198726325597,7.112198726325597,7.324743098142925,10.343738921583936,"[-0.28207853640915265, 0.46434507239199385, -0.02315026505739517]"
A0,72,12,board,1,602,602,1.0,7.190390287793376,7.190390287793376,7.201289339255813,8.447611481265147,"[-0.28339306660137437, 0.433625544784085, -0.02320218358663922]"
A0,72,12,board,2,1187,1187,1.0,-12.250448839674736,12.250448839674736,14.567191638657128,24.341781177039188,"[-0.275774422044429, 0.4534504598249173, -0.002605514836587552]"
A0,72,12,board,3,529,529,1.0,-9.490346022504465,9.490346022504465,9.6578263686474,11.171171908666508,"[-0.27619150410065046, 0.49924643242283884, -0.025852054161860025]"
A1,24,4,board,0,546,546,1.0,-6.497574362030564,6.497574362030564,6.992769987009671,10.53042669146136,"[-0.2751565742849372, 0.4847331620570087, -0.022800609049161195]"
A1,24,4,cube,0,273,273,1.0,8.525631307144785,8.925928488959842,8.99460190306705,10.754806348665168,"[-0.21899858236904665, 0.6362390693045566, 0.00562746876566311]"
A1,24,4,board,1,451,451,1.0,-7.586893366851384,7.586893366851384,7.585677593218409,8.972398952619546,"[-0.2852899346900885, 0.4096547017979889, -0.023488423541083513]"
A1,24,4,cube,1,156,156,1.0,-12.908163321196762,12.908163321196762,12.545636872128222,15.272533908751107,"[-0.2277911822098401, 0.6356319294817302, 0.0053516722262517595]"
A1,24,4,board,2,1196,1196,1.0,-2.8475510119700393,2.8836382731379144,5.76415570488442,11.417706536908186,"[-0.2679090044245922, 0.4481948061512763, -0.012434884794237216]"
A1,24,4,cube,2,201,201,1.0,7.234633080348947,9.523233057887783,9.704778537356836,14.141696359656585,"[-0.203790076602569, 0.6144132745484702, 0.022437857291563446]"
A1,24,4,board,3,568,568,1.0,8.836110007210735,8.836110007210735,8.85228199538726,10.36220814025937,"[-0.28753809176379486, 0.4931875132130101, -0.024959639855794146]"
A1,24,4,cube,3,320,320,1.0,-8.621271827710231,8.621271827710231,7.911468611057765,10.488203231089486,"[-0.23465248663679955, 0.6505871577058484, 0.0073882909142272465]"
A1,54,9,board,0,754,754,1.0,-6.463652647393637,6.463652647393637,6.938762289850296,10.566979063400016,"[-0.28655159055064167, 0.4643708555569242, -0.02264912521876362]"
A1,54,9,cube,0,150,150,1.0,2.8440423144159785,9.204497873761273,9.28884520058358,13.496157394437995,"[-0.4115397774290858, 0.36043618594890003, 0.008224995365609274]"
A1,54,9,board,1,467,467,1.0,-7.705606048897658,7.705606048897658,7.6976921589374445,9.003315721132372,"[-0.2836565485022742, 0.41665438286504736, -0.023639157277849064]"
A1,54,9,cube,1,382,382,1.0,9.10271571695073,9.10271571695073,9.347521945913305,11.403219028820562,"[-0.43359351034215626, 0.3509519771325837, 0.011029272677383566]"
A1,54,9,board,2,1193,1193,1.0,9.885083579638628,9.885083579638628,11.644942246629304,18.698251659021356,"[-0.27402081862854266, 0.452972696216052, -0.0053847828310627545]"
A1,54,9,cube,2,198,198,1.0,0.4443521898909199,5.5653852075847166,6.263316823206309,8.33697130773407,"[-0.39485945982389925, 0.35431119000217237, 0.027319207906311652]"
A1,54,9,board,3,606,606,1.0,-8.537723311740933,8.537723311740933,8.629409764697703,10.238861996414416,"[-0.2832990191655795, 0.49718498677564, -0.024761969261586098]"
