fk_noise,contrast,metric,unit,delta_definition,delta,interpretation
0mm_0deg,B1_to_A3,translation_rmse_mm,mm,second_minus_first,-1.9033142380674768,Unified_with_FK_fixed_cube
0mm_0deg,B1_to_A3,rotation_rmse_deg,deg,second_minus_first,-0.10143607703779423,Unified_with_FK_fixed_cube
0mm_0deg,A2_to_A3,translation_rmse_mm,mm,second_minus_first,,FK_fixed_cube_pose
0mm_0deg,A2_to_A3,rotation_rmse_deg,deg,second_minus_first,,FK_fixed_cube_pose
0mm_0deg,B2_to_A3,translation_rmse_mm,mm,second_minus_first,-2.953454194087481,board_addition_given_FK_fixed_cube
0mm_0deg,B2_to_A3,rotation_rmse_deg,deg,second_minus_first,-0.1640305545149922,board_addition_given_FK_fixed_cube
1mm_0.1deg,B1_to_A3,translation_rmse_mm,mm,second_minus_first,-4.672129419148087,Unified_with_FK_fixed_cube
1mm_0.1deg,B1_to_A3,rotation_rmse_deg,deg,second_minus_first,-0.2224809380310505,Unified_with_FK_fixed_cube
1mm_0.1deg,A2_to_A3,translation_rmse_mm,mm,second_minus_first,,FK_fixed_cube_pose
1mm_0.1deg,A2_to_A3,rotation_rmse_deg,deg,second_minus_first,,FK_fixed_cube_pose
1mm_0.1deg,B2_to_A3,translation_rmse_mm,mm,second_minus_first,-1.7031919798804562,board_addition_given_FK_fixed_cube
1mm_0.1deg,B2_to_A3,rotation_rmse_deg,deg,second_minus_first,-0.07551200907941025,board_addition_given_FK_fixed_cube
3mm_0.3deg,B1_to_A3,translation_rmse_mm,mm,second_minus_first,-11.450602114160372,Unified_with_FK_fixed_cube
3mm_0.3deg,B1_to_A3,rotation_rmse_deg,deg,second_minus_first,-0.55762320279647,Unified_with_FK_fixed_cube
3mm_0.3deg,A2_to_A3,translation_rmse_mm,mm,second_minus_first,,FK_fixed_cube_pose
3mm_0.3deg,A2_to_A3,rotation_rmse_deg,deg,second_minus_first,,FK_fixed_cube_pose
3mm_0.3deg,B2_to_A3,translation_rmse_mm,mm,second_minus_first,0.9552996126762885,board_addition_given_FK_fixed_cube
3mm_0.3deg,B2_to_A3,rotation_rmse_deg,deg,second_minus_first,0.05131017616201494,board_addition_given_FK_fixed_cube
5mm_0.5deg,B1_to_A3,translation_rmse_mm,mm,second_minus_first,-19.34748905319671,Unified_with_FK_fixed_cube
5mm_0.5deg,B1_to_A3,rotation_rmse_deg,deg,second_minus_first,-0.9455047745642458,Unified_with_FK_fixed_cube
5mm_0.5deg,A2_to_A3,translation_rmse_mm,mm,second_minus_first,,FK_fixed_cube_pose
5mm_0.5deg,A2_to_A3,rotation_rmse_deg,deg,second_minus_first,,FK_fixed_cube_pose
5mm_0.5deg,B2_to_A3,translation_rmse_mm,mm,second_minus_first,2.9289168436430657,board_addition_given_FK_fixed_cube
5mm_0.5deg,B2_to_A3,rotation_rmse_deg,deg,second_minus_first,0.13251949748731118,board_addition_given_FK_fixed_cube
