fk_noise,row,n_trials,n_converged,status,headline_metric_available,translation_rmse_mm_mean,translation_rmse_mm_std,rotation_rmse_deg_mean,rotation_rmse_deg_std,diagnostic_all_runs_translation_rmse_mm_mean,diagnostic_all_runs_translation_rmse_mm_std,diagnostic_all_runs_rotation_rmse_deg_mean,diagnostic_all_runs_rotation_rmse_deg_std
0mm_0deg,A2,10,3,mixed,False,,,,,34.77335321013191,26.62787993222729,1.4842158425549514,1.0397715746312
0mm_0deg,A3,10,10,converged,True,4.176578050399977,1.174545404298014,0.22003611581439303,0.06509925774048085,4.176578050399977,1.174545404298014,0.22003611581439303,0.06509925774048085
0mm_0deg,B1,10,10,converged,True,6.0798922884674536,2.791870775862062,0.32147219285218726,0.16028324168955232,6.0798922884674536,2.791870775862062,0.32147219285218726,0.16028324168955232
0mm_0deg,B2,10,10,converged,True,7.130032244487458,1.4630632252413949,0.38406667032938524,0.08232444814637986,7.130032244487458,1.4630632252413949,0.38406667032938524,0.08232444814637986
1mm_0.1deg,A2,10,3,mixed,False,,,,,34.77335321013191,26.62787993222729,1.4842158425549514,1.0397715746312
1mm_0.1deg,A3,10,10,converged,True,9.514427559419826,4.720428409232077,0.5515803646458928,0.2361294556033396,9.514427559419826,4.720428409232077,0.5515803646458928,0.2361294556033396
1mm_0.1deg,B1,10,10,converged,True,14.186556978567912,5.71290690332923,0.7740613026769433,0.32660082051875305,14.186556978567912,5.71290690332923,0.7740613026769433,0.32660082051875305
1mm_0.1deg,B2,10,10,converged,True,11.217619539300282,3.7588812886584835,0.627092373725303,0.2008360931767055,11.217619539300282,3.7588812886584835,0.627092373725303,0.2008360931767055
3mm_0.3deg,A2,10,3,mixed,False,,,,,34.77335321013191,26.62787993222729,1.4842158425549514,1.0397715746312
3mm_0.3deg,A3,10,10,converged,True,26.54205353583193,14.834274438500687,1.5470714111304387,0.742293072265608,26.54205353583193,14.834274438500687,1.5470714111304387,0.742293072265608
3mm_0.3deg,B1,10,10,converged,True,37.9926556499923,18.31818737881692,2.1046946139269087,1.0171397420421007,37.9926556499923,18.31818737881692,2.1046946139269087,1.0171397420421007
3mm_0.3deg,B2,10,10,converged,True,25.58675392315564,14.023483718780552,1.4957612349684237,0.6878881012378077,25.58675392315564,14.023483718780552,1.4957612349684237,0.6878881012378077
5mm_0.5deg,A2,10,3,mixed,False,,,,,34.77335321013191,26.62787993222729,1.4842158425549514,1.0397715746312
5mm_0.5deg,A3,10,10,converged,True,44.107618413003806,24.930898775309533,2.582150853109164,1.2636390471201397,44.107618413003806,24.930898775309533,2.582150853109164,1.2636390471201397
5mm_0.5deg,B1,10,10,converged,True,63.455107466200516,31.409632284227698,3.52765562767341,1.7659694560891037,63.455107466200516,31.409632284227698,3.52765562767341,1.7659694560891037
5mm_0.5deg,B2,10,10,converged,True,41.17870156936074,24.341117946340084,2.449631355621853,1.1987325263076452,41.17870156936074,24.341117946340084,2.449631355621853,1.1987325263076452
