pixel_sigma_px,contrast,metric,unit,delta_definition,delta,interpretation
0,A1_to_A2,translation_rmse_mm,mm,second_minus_first,1.792942726194955e-05,Unified_with_estimated_cube
0,A1_to_A2,rotation_rmse_deg,deg,second_minus_first,7.293070121996096e-07,Unified_with_estimated_cube
0,B1_to_A3,translation_rmse_mm,mm,second_minus_first,6.363669337468857e-07,Unified_with_FK_fixed_cube
0,B1_to_A3,rotation_rmse_deg,deg,second_minus_first,3.511236840084537e-08,Unified_with_FK_fixed_cube
0,A2_to_A3,translation_rmse_mm,mm,second_minus_first,-1.8211581615945566e-05,FK_fixed_cube_pose
0,A2_to_A3,rotation_rmse_deg,deg,second_minus_first,-7.290445307951394e-07,FK_fixed_cube_pose
0,B2_to_A3,translation_rmse_mm,mm,second_minus_first,7.802881912550676e-07,board_addition_given_FK_fixed_cube
0,B2_to_A3,rotation_rmse_deg,deg,second_minus_first,4.3017899916144185e-08,board_addition_given_FK_fixed_cube
0.5,A1_to_A2,translation_rmse_mm,mm,second_minus_first,,Unified_with_estimated_cube
0.5,A1_to_A2,rotation_rmse_deg,deg,second_minus_first,,Unified_with_estimated_cube
0.5,B1_to_A3,translation_rmse_mm,mm,second_minus_first,-0.8999479220385749,Unified_with_FK_fixed_cube
0.5,B1_to_A3,rotation_rmse_deg,deg,second_minus_first,-0.04780929600736586,Unified_with_FK_fixed_cube
0.5,A2_to_A3,translation_rmse_mm,mm,second_minus_first,,FK_fixed_cube_pose
0.5,A2_to_A3,rotation_rmse_deg,deg,second_minus_first,,FK_fixed_cube_pose
0.5,B2_to_A3,translation_rmse_mm,mm,second_minus_first,-1.4777457318018437,board_addition_given_FK_fixed_cube
0.5,B2_to_A3,rotation_rmse_deg,deg,second_minus_first,-0.08193245928157614,board_addition_given_FK_fixed_cube
1,A1_to_A2,translation_rmse_mm,mm,second_minus_first,,Unified_with_estimated_cube
1,A1_to_A2,rotation_rmse_deg,deg,second_minus_first,,Unified_with_estimated_cube
1,B1_to_A3,translation_rmse_mm,mm,second_minus_first,-1.9033142380674768,Unified_with_FK_fixed_cube
1,B1_to_A3,rotation_rmse_deg,deg,second_minus_first,-0.10143607703779423,Unified_with_FK_fixed_cube
1,A2_to_A3,translation_rmse_mm,mm,second_minus_first,,FK_fixed_cube_pose
1,A2_to_A3,rotation_rmse_deg,deg,second_minus_first,,FK_fixed_cube_pose
1,B2_to_A3,translation_rmse_mm,mm,second_minus_first,-2.953454194087481,board_addition_given_FK_fixed_cube
1,B2_to_A3,rotation_rmse_deg,deg,second_minus_first,-0.1640305545149922,board_addition_given_FK_fixed_cube
2,A1_to_A2,translation_rmse_mm,mm,second_minus_first,,Unified_with_estimated_cube
2,A1_to_A2,rotation_rmse_deg,deg,second_minus_first,,Unified_with_estimated_cube
2,B1_to_A3,translation_rmse_mm,mm,second_minus_first,-4.317768588731418,Unified_with_FK_fixed_cube
2,B1_to_A3,rotation_rmse_deg,deg,second_minus_first,-0.23075198676689168,Unified_with_FK_fixed_cube
2,A2_to_A3,translation_rmse_mm,mm,second_minus_first,,FK_fixed_cube_pose
2,A2_to_A3,rotation_rmse_deg,deg,second_minus_first,,FK_fixed_cube_pose
2,B2_to_A3,translation_rmse_mm,mm,second_minus_first,-5.875771191350701,board_addition_given_FK_fixed_cube
2,B2_to_A3,rotation_rmse_deg,deg,second_minus_first,-0.3264848223002511,board_addition_given_FK_fixed_cube
