pixel_sigma_px,row,n_trials,n_converged,status,headline_metric_available,translation_rmse_mm_mean,translation_rmse_mm_std,rotation_rmse_deg_mean,rotation_rmse_deg_std,diagnostic_all_runs_translation_rmse_mm_mean,diagnostic_all_runs_translation_rmse_mm_std,diagnostic_all_runs_rotation_rmse_deg_mean,diagnostic_all_runs_rotation_rmse_deg_std
0,A0,10,10,converged,True,5.376377299464847e-06,0.0,2.121077580567041e-07,2.6469779601696886e-23,5.376377299464847e-06,0.0,2.121077580567041e-07,2.6469779601696886e-23
0,A1,10,10,converged,True,1.0628868148818518e-06,0.0,4.2779793763829186e-08,6.617444900424222e-24,1.0628868148818518e-06,0.0,4.2779793763829186e-08,6.617444900424222e-24
0,A2,10,10,converged,True,1.89923140768314e-05,0.0,7.720868059634389e-07,0.0,1.89923140768314e-05,0.0,7.720868059634389e-07,0.0
0,A3,10,10,converged,True,7.807324608858345e-07,1.0587911840678754e-22,4.30422751682995e-08,0.0,7.807324608858345e-07,1.0587911840678754e-22,4.30422751682995e-08,0.0
0,B1,10,10,converged,True,1.4436552713894878e-07,0.0,7.929906767454131e-09,0.0,1.4436552713894878e-07,0.0,7.929906767454131e-09,0.0
0,B2,10,10,converged,True,4.442696307669191e-10,5.169878828456423e-26,2.4375252155310508e-11,3.2311742677852644e-27,4.442696307669191e-10,5.169878828456423e-26,2.4375252155310508e-11,3.2311742677852644e-27
0,B3,10,10,converged,True,1.5889061290158295e-05,0.0,6.954929489800297e-07,0.0,1.5889061290158295e-05,0.0,6.954929489800297e-07,0.0
0.5,A0,10,10,converged,True,79.41233471385158,30.842438732953095,3.671638226509343,1.6905224725025676,79.41233471385158,30.842438732953095,3.671638226509343,1.6905224725025676
0.5,A1,10,10,converged,True,21.958106159254225,14.32308468233054,0.8849103452432653,0.5592388055730569,21.958106159254225,14.32308468233054,0.8849103452432653,0.5592388055730569
0.5,A2,10,6,mixed,False,,,,,17.026250014424416,13.94895361506087,0.7274213786665655,0.5261210301399923
0.5,A3,10,10,converged,True,2.0814194335833505,0.551794505656278,0.10991821422246043,0.030563920131992352,2.0814194335833505,0.551794505656278,0.10991821422246043,0.030563920131992352
0.5,B1,10,10,converged,True,2.9813673556219253,1.4306236758642892,0.15772751022982628,0.08202607860418966,2.9813673556219253,1.4306236758642892,0.15772751022982628,0.08202607860418966
0.5,B2,10,10,converged,True,3.559165165385194,0.6643710800382663,0.19185067350403656,0.03750445557456679,3.559165165385194,0.6643710800382663,0.19185067350403656,0.03750445557456679
0.5,B3,10,10,converged,True,61.565937715347694,32.942845795400096,2.820911990909321,1.6610479424185742,61.565937715347694,32.942845795400096,2.820911990909321,1.6610479424185742
1,A0,10,10,converged,True,130.1191182421116,32.38589249948019,5.953756895727079,1.7337950779856273,130.1191182421116,32.38589249948019,5.953756895727079,1.7337950779856273
1,A1,10,10,converged,True,44.830140988409525,27.79131863685053,1.7986415102381592,1.1009409846194986,44.830140988409525,27.79131863685053,1.7986415102381592,1.1009409846194986
1,A2,10,3,mixed,False,,,,,34.77335321013191,26.62787993222729,1.4842158425549514,1.0397715746312
1,A3,10,10,converged,True,4.176578050399977,1.174545404298014,0.22003611581439303,0.06509925774048085,4.176578050399977,1.174545404298014,0.22003611581439303,0.06509925774048085
1,B1,10,10,converged,True,6.0798922884674536,2.791870775862062,0.32147219285218726,0.16028324168955232,6.0798922884674536,2.791870775862062,0.32147219285218726,0.16028324168955232
1,B2,10,10,converged,True,7.130032244487458,1.4630632252413949,0.38406667032938524,0.08232444814637986,7.130032244487458,1.4630632252413949,0.38406667032938524,0.08232444814637986
1,B3,10,9,mixed,False,,,,,111.55224178430308,59.070751880668716,5.244922861377352,2.9898073864593457
2,A0,10,10,converged,True,202.03962831173686,45.110541823471486,9.622331353940462,2.156157240249169,202.03962831173686,45.110541823471486,9.622331353940462,2.156157240249169
2,A1,10,10,converged,True,93.24912990043404,55.522689155782594,3.7817298920662443,2.277885721337852,93.24912990043404,55.522689155782594,3.7817298920662443,2.277885721337852
2,A2,10,0,unstable,False,,,,,72.14115222494273,49.06424089160912,3.1789580146281575,2.0863257075785633
2,A3,10,10,converged,True,8.713641191788353,2.4321590007794587,0.4586736057706525,0.13731846002193765,8.713641191788353,2.4321590007794587,0.4586736057706525,0.13731846002193765
2,B1,10,10,converged,True,13.031409780519772,5.424876992525109,0.6894255925375442,0.31353123745866,13.031409780519772,5.424876992525109,0.6894255925375442,0.31353123745866
2,B2,10,10,converged,True,14.589412383139054,3.467071225097975,0.7851584280709036,0.1946192117743558,14.589412383139054,3.467071225097975,0.7851584280709036,0.1946192117743558
2,B3,10,10,converged,True,189.72270675259688,31.907029684214006,8.96344262561073,1.9876634737210204,189.72270675259688,31.907029684214006,8.96344262561073,1.9876634737210204
