gotoj 37.96, -26.52, -142.83, 0.78, -9.95, -118.48
gotoj 26.45, -32.79, -122.56, 1.52, -24.33, -170.60
gotoj 19.83, -38.77, -107.72, -1.02, -33.08, -53.99
gotoj 17.71, -42.45, -98.14, 1.05, -39.17, -177.78
gotoj 28.10, -51.45, -77.05, 0.45, -52.11, -256.85
gotoj 33.37, -53.99, -71.44, -0.60, -55.07, -330.96
gotoj 41.49, -55.33, -67.97, 0.84, -56.60, -188.64
gotoj 46.96, -48.54, -83.89, 0.23, -48.25, -272.86
gotoj 51.81, -43.87, -94.77, 0.94, -41.02, -168.57
gotoj 60.05, -41.23, -101.25, 0.52, -38.15, -260.03
gotoj 66.42, -35.61, -115.76, -1.05, -29.12, -332.33
gotoj 62.21, -32.33, -124.24, 0.01, -24.13, -286.47
gotoj 56.51, -29.54, -131.80, 2.20, -18.61, -194.24
gotoj 19.83, -38.77, -107.72, -1.02, -33.08, -94.49
