observation_id,target,event_id,camera_id,set_idx,capture_block,image_path,corner_count,marker_ids,observed_faces,quality_tier,pnp_rmse_px,pnp_inlier_fraction,detection_method,standard_selected,standard_disposition,standard_reason,strict_selected,strict_disposition,strict_reason
cube:E0003:cam2,cube,3,2,0,A_placement,cam2/rgb_00003.jpg,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0014:cam2,cube,14,2,2,A_placement,cam2/rgb_00014.jpg,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0015:cam2,cube,15,2,2,A_placement,cam2/rgb_00015.jpg,0,"[5,0,1]","[""+Z"",""-Y""]",nonplanar_multiface,19.023005365982893,0.6666666666666666,default,False,rejected,pnp_rmse_rejected,False,rejected,pnp_rmse_rejected
cube:E0017:cam2,cube,17,2,2,A_placement,cam2/rgb_00017.jpg,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0020:cam2,cube,20,2,3,A_placement,cam2/rgb_00020.jpg,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0023:cam2,cube,23,2,3,A_placement,cam2/rgb_00023.jpg,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0028:cam2,cube,28,2,4,A_placement,cam2/rgb_00028.jpg,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
board:E0030:cam3,board,30,3,5,A_placement,cam3/rgb_00030.jpg,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
cube:E0034:cam2,cube,34,2,5,A_placement,cam2/rgb_00034.jpg,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
board:E0036:cam3,board,36,3,6,A_placement,cam3/rgb_00036.jpg,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
board:E0042:cam3,board,42,3,7,A_placement,cam3/rgb_00042.jpg,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
board:E0060:cam3,board,60,3,10,A_placement,cam3/rgb_00060.jpg,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
board:E0080:cam0,board,80,0,13,B_eyetohand,cam0/rgb_00080.jpg,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
board:E0082:cam0,board,82,0,13,B_eyetohand,cam0/rgb_00082.jpg,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
board:E0082:cam3,board,82,3,13,B_eyetohand,cam3/rgb_00082.jpg,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
board:E0083:cam3,board,83,3,13,B_eyetohand,cam3/rgb_00083.jpg,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
board:E0085:cam3,board,85,3,13,B_eyetohand,cam3/rgb_00085.jpg,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
