event_id,set_idx,capture_block,priority,reason,board_camera_ids
1,0,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
3,0,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
4,0,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
5,0,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
7,1,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
10,1,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
11,1,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
14,2,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
15,2,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
17,2,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
19,3,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
20,3,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
21,3,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
23,3,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
28,4,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
34,5,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
40,6,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
69,11,A_placement,medium,missing_standard_core_cube; board observation remains usable,cam2
