event_id,camera_id,set_idx,is_gripper_camera,detected_marker_ids,marker_ids,observed_faces,observed_face_count,noncoplanar_face_count,is_planar,quality_tier,pnp_rmse_px,pnp_inlier_fraction,pnp_solver,positive_depth_candidate_count,pnp_candidate_count,pnp_accepted,detection_method,redetection_attempted,redetection_selected,recovered_core_observation,redetection_max_rmse_px,detection_candidate_count,baseline_detected_marker_ids,baseline_marker_ids,baseline_quality_tier,baseline_pnp_rmse_px,legacy_policy_selected,core_multiface_selected,selected_for_calibration,selection_reason,status
0,0,0,False,0;1;2;5,0;1;2;5,+X;+Z;-Y,3,3,False,nonplanar_multiface,2.030555175341439,0.9375,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;2;5,0;1;2;5,nonplanar_multiface,2.030555175341439,True,True,True,selected,accepted
0,1,0,False,0;3;4,0;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,1.110488318059616,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;3;4,0;3;4,nonplanar_multiface,1.110488318059616,True,True,True,selected,accepted
0,2,0,True,0;1;2,0;1;2,+X;+Z,2,2,False,nonplanar_multiface,2.396561436503537,0.9166666666666666,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;2,0;1;2,nonplanar_multiface,2.396561436503537,True,True,True,selected,accepted
0,3,0,False,2;3,2;3,+X;+Y,2,2,False,nonplanar_multiface,0.6468894535034133,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,2;3,2;3,nonplanar_multiface,0.6468894535034133,True,True,True,selected,accepted
1,2,0,True,1,1,+Z,1,0,True,single_marker,0.29060002614711333,1.0,IPPE,2,2,True,default,True,False,False,3.0,5,1,1,single_marker,0.29060002614711333,True,False,False,noncore_single_marker,accepted
2,2,0,True,1;3,1;3,+Y;+Z,2,2,False,nonplanar_multiface,1.1260802178126355,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,1;3,1;3,nonplanar_multiface,1.1260802178126355,True,True,True,selected,accepted
3,2,0,True,,,,0,0,,none,,,,0,0,False,default,True,False,False,3.0,5,,,none,,False,False,False,pnp_not_accepted,no_markers_detected
4,2,0,True,3,3,+Y,1,0,True,single_marker,0.34946140891032446,1.0,IPPE,2,2,True,up2_subpixel,True,True,False,3.0,5,3,3,single_marker,0.43579452221158677,True,False,False,noncore_single_marker,accepted
5,2,0,True,3,3,+Y,1,0,True,single_marker,0.356000858342897,1.0,IPPE,2,2,True,native_relaxed_subpixel,True,True,False,3.0,5,3,3,single_marker,0.688506453898455,True,False,False,noncore_single_marker,accepted
6,0,1,False,0;1;5,0;1;5,+Z;-Y,2,2,False,nonplanar_multiface,0.8924885371794051,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;5,0;1;5,nonplanar_multiface,0.8924885371794051,True,True,True,selected,accepted
6,1,1,False,1;3;4,1;3;4,+Y;+Z;-X,3,3,False,nonplanar_multiface,0.9279410586010838,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,1;3;4,1;3;4,nonplanar_multiface,0.9279410586010838,True,True,True,selected,accepted
6,2,1,True,0;1;5,0;1;5,+Z;-Y,2,2,False,nonplanar_multiface,0.8841342048856032,1.0,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,0;1;5,0;1;5,nonplanar_multiface,0.8841342048856032,True,True,True,selected,accepted
6,3,1,False,2;3,2;3,+X;+Y,2,2,False,nonplanar_multiface,1.6460242550931905,0.875,RANSAC-EPNP+LM,1,1,True,default,False,False,False,,1,2;3,2;3,nonplanar_multiface,1.6460242550931905,True,True,True,selected,accepted
7,2,1,True,3,3,+Y,1,0,True,single_marker,0.09905099399616611,1.0,IPPE,2,2,True,up2_subpixel,True,True,False,3.0,5,3,3,single_marker,0.7179270668873529,True,False,False,noncore_single_marker,accepted
