event_id,camera_ids,pnp_accepted_camera_ids,core_multiface_camera_ids,planar_multimarker_camera_ids,single_marker_camera_ids,observed_marker_ids,observed_faces,has_core_multiface_observation
0,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;2;3;4;5,+X;+Y;+Z;-X;-Y,True
1,2,2,,,2,1,+Z,False
2,2,2,2,,,1;3,+Y;+Z,True
3,2,,,,,,,False
4,2,2,,,2,3,+Y,False
5,2,2,,,2,3,+Y,False
6,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;2;3;4;5,+X;+Y;+Z;-X;-Y,True
7,2,2,,,2,3,+Y,False
8,2,2,2,,,0;1;3;4,+Y;+Z;-X,True
9,2,2,2,,,1;3,+Y;+Z,True
10,2,2,,,2,3,+Y,False
11,2,,,,,,,False
12,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;2;3;4;5,+X;+Y;+Z;-X;-Y,True
13,2,2,2,,,1;4;5,+Z;-X;-Y,True
14,2,,,,,,,False
15,2,,,,,,,False
16,2,2,2,,,0;4;5,+Z;-X;-Y,True
17,2,,,,,,,False
18,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;2;3;4;5,+X;+Y;+Z;-X;-Y,True
19,2,2,,,2,0,+Z,False
20,2,,,,,,,False
21,2,2,,,2,4,-X,False
22,2,2,2,,,1;3,+Y;+Z,True
23,2,,,,,,,False
24,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;2;3;4;5,+X;+Y;+Z;-X;-Y,True
25,2,2,2,,,2;3,+X;+Y,True
26,2,2,2,,,0;1;4,+Z;-X,True
27,2,2,2,,,0;1;2;3,+X;+Y;+Z,True
28,2,,,,,,,False
29,2,2,2,,,3;4,+Y;-X,True
30,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;2;3;4;5,+X;+Y;+Z;-X;-Y,True
31,2,2,2,,,2;5,+X;-Y,True
32,2,2,2,,,0;1;3,+Y;+Z,True
33,2,2,2,,,0;1;2;5,+X;+Z;-Y,True
34,2,,,,,,,False
35,2,2,2,,,0;1;3,+Y;+Z,True
36,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;2;3;4;5,+X;+Y;+Z;-X;-Y,True
37,2,2,2,,,0;1;3;4,+Y;+Z;-X,True
38,2,2,2,,,0;1;4;5,+Z;-X;-Y,True
39,2,2,2,,,1;3;4,+Y;+Z;-X,True
40,2,2,,,2,3,+Y,False
41,2,2,2,,,0;1;4;5,+Z;-X;-Y,True
42,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;2;3;4;5,+X;+Y;+Z;-X;-Y,True
43,2,2,2,,,0;1;2;3,+X;+Y;+Z,True
44,2,2,2,,,0;1;3;4,+Y;+Z;-X,True
45,2,2,2,,,0;1;2,+X;+Z,True
46,2,2,2,,,0;1;3;4,+Y;+Z;-X,True
47,2,2,2,,,0;1;3,+Y;+Z,True
48,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;3;4;5,+Y;+Z;-X;-Y,True
49,2,2,2,,,0;1;5,+Z;-Y,True
50,2,2,2,,,0;1;4,+Z;-X,True
51,2,2,2,,,0;1;4;5,+Z;-X;-Y,True
52,2,2,2,,,0;1;4;5,+Z;-X;-Y,True
53,2,2,2,,,0;1;4;5,+Z;-X;-Y,True
54,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;2;3;4;5,+X;+Y;+Z;-X;-Y,True
55,2,2,2,,,0;1;4,+Z;-X,True
56,2,2,2,,,0;3,+Y;+Z,True
57,2,2,2,,,0;1;3;4,+Y;+Z;-X,True
58,2,2,2,,,0;1;3;4,+Y;+Z;-X,True
59,2,2,2,,,0;1;3,+Y;+Z,True
60,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;2;3;4;5,+X;+Y;+Z;-X;-Y,True
61,2,2,2,,,0;1;3;4,+Y;+Z;-X,True
62,2,2,2,,,0;1;2;3,+X;+Y;+Z,True
63,2,2,2,,,0;1;4,+Z;-X,True
64,2,2,2,,,1;3,+Y;+Z,True
65,2,2,2,,,0;1;3,+Y;+Z,True
66,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;2;3;4;5,+X;+Y;+Z;-X;-Y,True
67,2,2,2,,,0;1;4,+Z;-X,True
68,2,2,2,,,0;1;4;5,+Z;-X;-Y,True
69,2,2,,,2,4,-X,False
70,2,2,2,,,0;1;3;4,+Y;+Z;-X,True
71,2,2,2,,,1;3,+Y;+Z,True
72,0;1;2;3,0;1;2;3,0;1;2;3,,,0;1;2;3;4;5,+X;+Y;+Z;-X;-Y,True
73,2,2,2,,,0;1;5,+Z;-Y,True
74,2,2,2,,,0;1;2;3,+X;+Y;+Z,True
75,2,2,2,,,0;5,+Z;-Y,True
76,2,2,2,,,0;1;2;5,+X;+Z;-Y,True
77,2,2,2,,,0;1;4;5,+Z;-X;-Y,True
