observation_id,target,event_id,camera_id,set_idx,capture_block,image_path,corner_count,marker_ids,observed_faces,quality_tier,pnp_rmse_px,pnp_inlier_fraction,detection_method,standard_selected,standard_disposition,standard_reason,strict_selected,strict_disposition,strict_reason
cube:E0000:cam2,cube,0,2,,B_eyetohand,cam2/rgb_00000.png,4,[2],"[""+X""]",single_marker,0.08997652775165106,1.0,up2_unsharp_relaxed,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
cube:E0016:cam1,cube,16,1,1,A_placement,cam1/rgb_00016.png,4,[3],"[""+Y""]",single_marker,0.04276847201721798,1.0,up2_subpixel,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
cube:E0017:cam3,cube,17,3,1,A_placement,cam3/rgb_00017.png,8,"[0,1]","[""+Z""]",planar_multimarker,0.20350956199288203,1.0,default,False,quarantine,noncore_planar_multimarker,False,quarantine,noncore_planar_multimarker
cube:E0019:cam3,cube,19,3,2,A_placement,cam3/rgb_00019.png,8,"[0,1]","[""+Z""]",planar_multimarker,0.18517155288833653,1.0,default,False,quarantine,noncore_planar_multimarker,False,quarantine,noncore_planar_multimarker
cube:E0020:cam1,cube,20,1,3,A_placement,cam1/rgb_00020.png,4,[3],"[""+Y""]",single_marker,0.05573132066168465,1.0,default,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
cube:E0031:cam3,cube,31,3,8,A_placement,cam3/rgb_00031.png,8,"[0,1]","[""+Z""]",planar_multimarker,0.2107750057596139,1.0,default,False,quarantine,noncore_planar_multimarker,False,quarantine,noncore_planar_multimarker
cube:E0036:cam0,cube,36,0,11,A_placement,cam0/rgb_00036.png,8,"[0,1]","[""+Z""]",planar_multimarker,0.32237359264202026,1.0,up2_unsharp_relaxed,False,quarantine,noncore_planar_multimarker,False,quarantine,noncore_planar_multimarker
cube:E0037:cam3,cube,37,3,11,A_placement,cam3/rgb_00037.png,8,"[0,1]","[""+Z""]",planar_multimarker,0.2033715842665892,1.0,up2_unsharp_relaxed,False,quarantine,noncore_planar_multimarker,False,quarantine,noncore_planar_multimarker
cube:E0040:cam1,cube,40,1,13,A_placement,cam1/rgb_00040.png,4,[2],"[""+X""]",single_marker,0.017356043005112797,1.0,default,False,quarantine,noncore_single_marker,False,quarantine,noncore_single_marker
cube:E0043:cam3,cube,43,3,14,A_placement,cam3/rgb_00043.png,8,"[1,0]","[""+Z""]",planar_multimarker,0.1838143919271616,1.0,up2_unsharp_relaxed,False,quarantine,noncore_planar_multimarker,False,quarantine,noncore_planar_multimarker
cube:E0045:cam3,cube,45,3,15,A_placement,cam3/rgb_00045.png,8,"[1,0]","[""+Z""]",planar_multimarker,0.19664326562752935,1.0,default,False,quarantine,noncore_planar_multimarker,False,quarantine,noncore_planar_multimarker
