observation_id,target,event_id,camera_id,set_idx,capture_block,image_path,corner_count,marker_ids,observed_faces,quality_tier,pnp_rmse_px,pnp_inlier_fraction,detection_method,standard_selected,standard_disposition,standard_reason,strict_selected,strict_disposition,strict_reason
board:E0000:cam1,board,0,1,0,B_eyetohand,cam1/rgb_00000.png,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
board:E0000:cam3,board,0,3,0,B_eyetohand,cam3/rgb_00000.png,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
cube:E0000:cam3,cube,0,3,0,B_eyetohand,cam3/rgb_00000.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0001:cam3,cube,1,3,0,B_eyetohand,cam3/rgb_00001.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
board:E0002:cam1,board,2,1,0,B_eyetohand,cam1/rgb_00002.png,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
board:E0002:cam3,board,2,3,0,B_eyetohand,cam3/rgb_00002.png,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
cube:E0002:cam3,cube,2,3,0,B_eyetohand,cam3/rgb_00002.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
board:E0003:cam3,board,3,3,0,B_eyetohand,cam3/rgb_00003.png,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
cube:E0003:cam3,cube,3,3,0,B_eyetohand,cam3/rgb_00003.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
board:E0004:cam3,board,4,3,0,B_eyetohand,cam3/rgb_00004.png,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
cube:E0004:cam3,cube,4,3,0,B_eyetohand,cam3/rgb_00004.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0005:cam3,cube,5,3,0,B_eyetohand,cam3/rgb_00005.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0006:cam3,cube,6,3,0,B_eyetohand,cam3/rgb_00006.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0007:cam3,cube,7,3,0,B_eyetohand,cam3/rgb_00007.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0008:cam0,cube,8,0,0,B_eyetohand,cam0/rgb_00008.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
board:E0008:cam1,board,8,1,0,B_eyetohand,cam1/rgb_00008.png,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
board:E0008:cam3,board,8,3,0,B_eyetohand,cam3/rgb_00008.png,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
cube:E0008:cam3,cube,8,3,0,B_eyetohand,cam3/rgb_00008.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0009:cam3,cube,9,3,0,B_eyetohand,cam3/rgb_00009.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0010:cam3,cube,10,3,0,B_eyetohand,cam3/rgb_00010.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
board:E0011:cam3,board,11,3,0,B_eyetohand,cam3/rgb_00011.png,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
cube:E0011:cam3,cube,11,3,0,B_eyetohand,cam3/rgb_00011.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0012:cam0,cube,12,0,0,B_eyetohand,cam0/rgb_00012.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
board:E0012:cam3,board,12,3,0,B_eyetohand,cam3/rgb_00012.png,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
cube:E0012:cam3,cube,12,3,0,B_eyetohand,cam3/rgb_00012.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0013:cam3,cube,13,3,0,B_eyetohand,cam3/rgb_00013.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0014:cam3,cube,14,3,0,B_eyetohand,cam3/rgb_00014.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0015:cam3,cube,15,3,0,B_eyetohand,cam3/rgb_00015.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
board:E0016:cam3,board,16,3,1,A_placement,cam3/rgb_00016.png,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
board:E0017:cam1,board,17,1,2,A_placement,cam1/rgb_00017.png,0,[],[],,,,,False,rejected,no_charuco_or_below_4_corners,False,rejected,no_charuco_or_below_4_corners
cube:E0031:cam1,cube,31,1,0,A_placement,cam1/rgb_00031.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0031:cam2,cube,31,2,0,A_placement,cam2/rgb_00031.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0031:cam3,cube,31,3,0,A_placement,cam3/rgb_00031.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0032:cam1,cube,32,1,0,A_placement,cam1/rgb_00032.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0032:cam2,cube,32,2,0,A_placement,cam2/rgb_00032.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0032:cam3,cube,32,3,0,A_placement,cam3/rgb_00032.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0033:cam1,cube,33,1,0,A_placement,cam1/rgb_00033.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0033:cam2,cube,33,2,0,A_placement,cam2/rgb_00033.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0033:cam3,cube,33,3,0,A_placement,cam3/rgb_00033.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0034:cam1,cube,34,1,0,A_placement,cam1/rgb_00034.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0034:cam2,cube,34,2,0,A_placement,cam2/rgb_00034.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0034:cam3,cube,34,3,0,A_placement,cam3/rgb_00034.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0035:cam1,cube,35,1,0,A_placement,cam1/rgb_00035.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0035:cam2,cube,35,2,0,A_placement,cam2/rgb_00035.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0035:cam3,cube,35,3,0,A_placement,cam3/rgb_00035.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0036:cam1,cube,36,1,0,A_placement,cam1/rgb_00036.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0036:cam2,cube,36,2,0,A_placement,cam2/rgb_00036.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
cube:E0036:cam3,cube,36,3,0,A_placement,cam3/rgb_00036.png,0,[],[],none,,,default,False,rejected,no_markers_detected,False,rejected,no_markers_detected
